affiliation,level,season,number
STL,Other,1940,28
STL,Other,1939,24
STL,Other,1938,23
STL,Other,1937,22
STL,Other,1941,22
LAD,Other,1948,19
STL,Other,1936,19
NYY,Other,1948,18
STL,Other,1942,18
SFG,Other,1948,17
LAD,Other,1949,17
LAD,Other,1947,17
BAL,Other,1948,17
LAD,Other,1946,17
SFG,Other,1950,16
STL,Other,1954,16
STL,Other,1950,16
STL,Other,1948,16
LAD,Other,1950,16
NYY,Other,1949,16
LAD,Other,1940,16
SFG,Other,1949,15
PIT,Other,1948,15
CLE,Other,1939,15
BAL,Other,1949,15
STL,Other,1949,15
CHC,Other,1948,14
STL,Other,1947,14
CHC,Other,1946,14
STL,Other,1955,14
STL,Other,1946,14
NYY,Other,1947,14
CHC,Other,1947,14
CLE,Other,1949,14
CLE,Other,1947,14
CLE,Other,1948,14
NYY,Other,1939,13
PHI,Other,1948,13
SFG,Other,1946,13
LAD,Other,1941,13
LAD,Other,1939,13
SFG,Other,1947,13
LAD,Other,1951,13
STL,Other,1953,13
BAL,Other,1947,13
PHI,Other,1949,13
ATL,Other,1948,12
PIT,Other,1947,12
PIT,Other,1952,12
ATL,Other,1947,12
BAL,Other,1937,12
SFG,Other,1951,11
NYY,Other,1940,11
BAL,Other,1939,11
NYY,Other,1950,11
STL,Other,1958,11
BAL,Other,1938,11
CHC,Other,1949,11
ATL,Other,1961,11
LAD,Other,1952,11
STL,Other,1951,11
CLE,Other,1950,11
PHI,Other,1947,10
PIT,Other,1949,10
BOS,Other,1948,10
NYY,Other,1937,10
BAL,Other,1940,10
NYY,Other,1946,10
OAK,Other,1950,10
PIT,Other,1953,10
PHI,Other,1951,10
PHI,Other,1950,10
PIT,Other,1946,10
PIT,Other,1951,10
STL,Other,1952,10
SFG,Other,1952,10
CLE,Other,1937,10
STL,Other,1956,10
STL,Other,1935,10
CHW,Other,1948,10
CHW,Other,1946,10
DET,Other,1941,10
ATL,Other,1946,10
ATL,Other,1952,10
ATL,Other,1956,10
ATL,Other,1957,10
LAD,Other,1938,10
ATL,Other,1958,10
LAD,Other,1953,10
CIN,Other,1939,10
MIN,Other,1948,10
LAD,Other,1957,10
CIN,Other,1957,10
